,AR,AU,AT,BO,BR,CA,CL,CN,CO,HR,CZ,EG,EE,FI,FR,DE,GR,HU,IN,ID,IR,IE,IT,JP,KR,KW,MY,MX,NL,PK,PE,PH,PL,PT,QA,RU,SG,ZA,ES,SE,CH,TH,TR,AE,GB,UY,US,VN,date
51,70,33,47,95,75,40,61,58,55,21,16,48,29,22,48,80,20,62,27,64,30,42,69,100,34,41,29,59,35,40,65,56,46,66,44,54,17,35,73,45,55,44,36,34,57,31,30,66,20200421
52,44,34,45,43,79,39,75,23,68,18,25,40,27,38,49,96,38,39,25,65,30,48,78,78,33,31,26,70,44,43,44,53,45,56,41,49,18,40,68,47,72,39,33,33,52,42,30,79,20200422
53,58,34,45,53,82,40,61,16,44,42,6,45,32,38,57,72,33,37,25,64,23,42,74,75,38,27,20,61,37,48,70,57,47,55,77,49,19,74,61,55,66,46,31,42,59,64,32,64,20200423
54,64,35,53,65,57,37,93,30,73,42,14,37,51,53,48,72,41,43,25,71,27,38,78,68,27,25,24,62,35,47,71,52,41,79,28,46,18,100,65,49,79,39,37,42,40,48,30,65,20200424
55,67,35,33,69,70,40,100,28,97,26,29,31,37,36,52,61,50,65,27,72,25,38,77,66,35,29,26,70,38,42,91,56,39,60,22,62,18,83,70,51,81,42,33,33,44,37,32,64,20200425
56,74,36,41,51,73,37,54,46,79,40,17,49,39,45,59,60,27,43,27,74,25,45,64,56,37,43,24,75,38,40,51,48,38,70,67,48,16,76,59,61,45,37,37,47,44,38,29,71,20200426
57,31,29,18,32,73,33,67,23,52,32,12,58,40,42,52,62,49,42,28,70,23,43,69,81,37,28,21,71,37,46,65,57,29,57,43,52,16,65,72,52,59,32,32,37,40,61,27,70,20200427
58,39,27,39,32,63,37,45,34,61,21,14,46,28,39,53,100,48,55,28,65,23,50,70,57,43,58,24,69,39,53,56,56,34,81,53,55,14,59,68,55,86,36,29,38,60,39,29,75,20200428
59,51,31,66,61,68,40,61,36,43,23,17,31,29,59,57,89,100,48,25,73,16,71,72,52,31,32,20,53,36,32,56,57,35,52,40,55,16,66,69,59,72,33,38,36,55,31,30,70,20200429
60,49,27,36,69,68,44,33,11,36,20,13,63,31,39,54,49,67,51,26,83,26,51,67,51,28,38,23,57,48,42,89,55,37,71,45,48,15,64,64,46,65,45,32,42,59,50,29,59,20200430
61,80,26,51,50,72,42,34,100,69,37,15,54,24,56,57,53,57,42,25,73,25,50,88,43,20,32,27,63,49,39,51,62,46,75,50,60,15,71,67,52,61,42,33,47,63,60,29,61,20200501
62,53,33,47,33,81,42,49,20,46,36,17,53,25,33,63,46,61,36,31,77,25,55,83,45,26,33,31,67,44,39,71,58,41,77,30,65,16,63,60,59,97,39,37,40,58,54,30,60,20200502
63,56,34,36,46,72,39,89,21,59,20,13,54,20,56,53,39,67,33,28,67,26,50,69,40,18,33,28,63,37,37,33,57,36,85,49,66,18,59,54,52,65,38,34,40,54,0,28,65,20200503
64,66,28,34,58,65,39,69,27,31,32,13,53,21,38,58,34,43,35,29,69,33,47,75,44,27,28,32,60,39,33,76,61,38,90,33,56,18,58,55,56,45,35,29,42,58,30,25,66,20200504
65,66,32,39,34,70,40,42,34,55,29,12,60,35,30,63,36,53,47,31,67,21,50,98,43,38,55,30,51,50,43,71,59,40,81,44,66,17,53,59,53,72,33,37,42,51,56,26,79,20200505
66,50,30,39,43,66,39,46,48,72,38,17,50,22,38,54,33,34,49,31,66,22,44,77,50,35,45,29,52,100,30,48,57,35,85,41,68,17,51,65,53,64,32,44,34,46,63,26,63,20200506
67,59,33,31,48,78,42,53,18,60,7,13,52,16,47,55,37,36,38,29,70,24,39,79,39,33,13,32,50,87,41,44,59,31,74,34,70,18,46,62,57,59,43,37,47,44,66,25,61,20200507
68,85,32,36,60,59,40,39,29,55,23,12,60,38,43,57,35,33,53,31,76,16,36,82,43,24,23,29,60,69,27,75,55,34,95,31,62,15,39,65,60,40,41,35,35,39,46,25,66,20200508
69,76,32,38,65,72,42,44,38,73,37,9,63,25,43,53,35,43,42,32,68,19,34,94,43,15,37,34,55,67,39,73,53,45,79,34,74,18,38,87,55,61,39,34,43,38,42,28,86,20200509
70,66,33,27,76,75,39,66,48,48,17,9,78,29,50,53,31,35,35,30,79,16,39,90,40,20,16,24,63,51,34,41,45,30,54,38,60,16,30,78,55,46,35,41,33,47,100,24,64,20200510
71,57,28,31,48,57,37,50,46,40,10,18,80,17,32,61,25,34,28,33,66,27,51,68,44,39,63,34,52,52,36,66,54,29,66,42,51,15,35,68,45,39,32,38,44,100,64,23,62,20200511
72,46,30,26,42,74,39,81,33,57,20,19,60,12,43,56,31,32,34,45,64,25,76,75,47,30,64,30,64,47,39,59,53,27,57,31,65,14,44,70,52,62,35,40,36,95,66,24,63,20200512
73,62,29,38,43,64,42,62,23,69,22,19,94,18,62,47,31,40,34,41,77,38,79,70,44,33,20,28,57,49,39,64,65,31,48,56,63,15,37,64,49,44,31,36,36,78,99,25,62,20200513
74,47,27,32,58,60,41,43,23,71,21,13,76,20,49,44,31,34,37,40,74,18,63,68,45,29,53,28,61,46,36,69,73,30,62,72,67,13,33,76,54,57,39,36,40,65,50,26,48,20200514
75,45,29,43,45,54,40,25,24,55,29,12,93,17,43,51,33,25,55,40,72,10,76,66,39,30,26,29,56,48,32,52,63,28,66,36,51,15,37,74,50,61,35,27,40,57,34,26,61,20200515
76,80,32,48,98,58,40,26,58,64,13,15,84,27,39,45,41,35,40,42,73,32,100,80,41,28,49,28,58,53,38,69,78,38,62,53,56,17,30,59,53,38,32,34,54,52,86,26,52,20200516
77,92,33,39,33,61,38,37,29,83,29,16,100,13,24,39,31,30,21,40,82,15,73,69,40,22,31,30,66,49,35,51,76,29,69,44,60,17,29,80,57,39,39,37,45,47,43,24,53,20200517
78,77,29,23,57,72,37,51,30,39,21,16,90,16,46,39,26,23,34,39,75,28,74,70,42,37,49,27,55,40,36,59,82,26,60,55,75,15,30,66,46,58,31,34,47,47,54,22,59,20200518
79,37,29,40,38,55,35,60,41,65,20,14,75,8,40,35,27,23,41,39,80,29,58,67,43,29,59,27,58,43,39,57,70,30,44,47,60,18,31,72,43,48,30,33,48,42,32,22,48,20200519
